title,make,model,year,condition,transmission,location,price
Mercedes-Benz C300 2016 Gray,,,,local used,automatic,Kaduna / Kaduna State,"₦ 20,000,000"
Lexus RX 2019 Black,Lexus,RX,2019,foreign used,automatic,Central Business District,"₦ 63,000,000"
Lexus ES 350 2010 Gray,Lexus,ES,,foreign used,automatic,Apapa,"₦ 15,400,000"
Mercedes-Benz C300 2010 White,,,,local used,automatic,Benin City,"₦ 9,000,000"
Mercedes-Benz C400 2015 Black,,,,foreign used,automatic,Central Business District,"₦ 39,500,000"
Honda Pilot 2008 Black,Honda,Pilot,2008,foreign used,automatic,Abule Egba,"₦ 7,650,000"
Toyota Highlander Limited 2019 Gray,Toyota,Highlander,,foreign used,automatic,Kubwa,"₦ 39,500,000"
Toyota Corolla 2013 Gray,Toyota,Corolla,2013,foreign used,automatic,Ojo,"₦ 8,500,000"
Toyota Sienna 7 Passenger 2011 Black,Toyota,Sienna,,foreign used,automatic,Amuwo-Odofin,"₦ 17,500,000"
Hyundai Elantra 2012 Red,Hyundai,Elantra,2012,local used,automatic,Ajah,"₦ 8,500,000"
Toyota Camry 2015 Blue,Toyota,Camry,2015,local used,automatic,Surulere,"₦ 12,500,000"
New Rolls-Royce Cullinan 2025 Black,New,Rolls-Royce,,new,automatic,Lagos Island (Eko),"₦ 1,700,000,000"
Toyota Avensis 2.0 Advanced Automatic 2012 Black,Toyota,Avensis,,local used,automatic,Ikorodu,"₦ 4,550,000"
Nissan Micra 2002 Silver,Nissan,Micra,2002,local used,manual,Jos,"₦ 1,850,000"
Chevrolet Camaro 2018 Black,Chevrolet,Camaro,2018,local used,automatic,Ajah,"₦ 37,550,000"
Hyundai Sonata 2016 White,Hyundai,Sonata,2016,foreign used,automatic,Ikeja,"₦ 14,000,000"
Honda Civic LX 4dr Sedan (2.0L 4cyl) 2016 Red,Honda,Civic,,foreign used,automatic,Magodo,"₦ 18,000,000"
Honda Pilot 2018 Blue,Honda,Pilot,2018,foreign used,automatic,Isolo,"₦ 31,500,000"
Land Rover Range Rover Vogue 2024 Blue,Land,Rover,,foreign used,automatic,Ikoyi,"₦ 285,000,000"
Honda Accord Sport 4dr Sedan (2.4L 4cyl 6M) 2015 Red,Honda,Accord,,local used,automatic,Lekki,"₦ 10,600,000"
Land Rover Lr4 V8 2010 Black,Land,Rover,,local used,automatic,Isolo,"₦ 6,500,000"
New Toyota Hilux 2024 White,New,Toyota,,new,automatic,Ikeja,"₦ 103,000,000"
Toyota Sienna 2012 White,Toyota,Sienna,2012,local used,automatic,Ibadan,"₦ 12,700,000"
Lexus RX 2015 Black,Lexus,RX,2015,foreign used,automatic,Central Business District,"₦ 30,000,000"
